iter	Passed	Remaining
0	174	17314
1	189	9292
2	202	6532
3	217	5218
4	237	4508
5	250	3924
6	264	3510
7	278	3197
8	291	2947
9	303	2732
10	314	2542
11	325	2388
12	339	2269
13	352	2163
14	363	2061
15	375	1970
16	387	1892
17	401	1830
18	413	1761
19	422	1690
20	432	1625
21	440	1560
22	449	1506
23	458	1452
24	468	1405
25	478	1362
26	486	1316
27	497	1280
28	506	1240
29	515	1203
30	525	1169
31	534	1135
32	546	1108
33	558	1084
34	568	1055
35	577	1026
36	586	999
37	596	972
38	606	948
39	614	922
40	626	901
41	635	877
42	644	854
43	655	833
44	663	811
45	673	790
46	681	769
47	690	748
48	700	728
49	710	710
50	720	692
51	728	672
52	738	654
53	748	637
54	757	619
55	767	602
56	776	586
57	785	568
58	794	552
59	803	535
60	813	520
61	822	504
62	833	489
63	841	473
64	850	457
65	860	443
66	868	427
67	879	413
68	889	399
69	898	385
70	908	371
71	917	356
72	927	343
73	938	329
74	947	315
75	957	302
76	966	288
77	976	275
78	985	261
79	994	248
80	1004	235
81	1012	222
82	1023	209
83	1030	196
84	1040	183
85	1048	170
86	1057	158
87	1066	145
88	1075	132
89	1086	120
90	1093	108
91	1103	95
92	1111	83
93	1121	71
94	1132	59
95	1140	47
96	1151	35
97	1161	23
98	1171	11
99	1181	0
